iter	Passed	Remaining
913	4601	432
914	4606	427
915	4610	422
916	4615	417
917	4620	412
918	4624	407
919	4629	402
920	4633	397
921	4638	392
922	4643	387
923	4647	382
924	4652	377
925	4657	372
926	4661	367
927	4666	362
928	4671	357
929	4675	351
930	4680	346
931	4685	341
932	4690	336
933	4694	331
934	4699	326
935	4704	321
936	4708	316
937	4713	311
938	4718	306
939	4723	301
940	4728	296
941	4733	291
942	4739	286
943	4744	281
944	4749	276
945	4753	271
946	4757	266
947	4761	261
948	4766	256
949	4771	251
950	4775	246
951	4780	241
952	4785	235
953	4790	230
954	4794	225
955	4799	220
956	4804	215
957	4809	210
958	4813	205
959	4818	200
960	4823	195
961	4828	190
962	4833	185
963	4837	180
964	4842	175
965	4846	170
966	4851	165
967	4855	160
968	4860	155
969	4865	150
970	4869	145
971	4876	140
972	4881	135
973	4886	130
974	4890	125
975	4895	120
976	4900	115
977	4904	110
978	4909	105
979	4914	100
980	4918	95
981	4923	90
982	4927	85
983	4932	80
984	4937	75
985	4941	70
986	4946	65
987	4952	60
988	4957	55
989	4962	50
990	4967	45
991	4971	40
992	4977	35
993	4981	30
994	4986	25
995	4990	20
996	4995	15
997	5000	10
998	5004	5
999	5009	0
